	0	1
1468	0.7666666666666667	[64, 7, 'tanh', 'softmax', 'softmax', 'sigmoid']
1313	0.7666666666666667	[64, 7, 'sigmoid', 'tanh', 'sigmoid', 'softplus']
1408	0.7666666666666667	[64, 7, 'tanh', 'sigmoid', 'sigmoid', 'sigmoid']
1312	0.7666666666666667	[64, 7, 'sigmoid', 'tanh', 'sigmoid', 'sigmoid']
2207	0.7666666666666667	[128, 7, 'tanh', 'softplus', 'softmax', 'softmax']
1525	0.7666666666666667	[64, 7, 'softmax', 'softmax', 'softplus', 'softplus']
1716	0.7666666666666667	[128, 3, 'tanh', 'softmax', 'softplus', 'sigmoid']
2204	0.7666666666666667	[128, 7, 'tanh', 'softplus', 'softmax', 'sigmoid']
2215	0.7666666666666667	[128, 7, 'tanh', 'tanh', 'softplus', 'softmax']
2220	0.7666666666666667	[128, 7, 'tanh', 'tanh', 'softmax', 'sigmoid']
1188	0.7666666666666667	[64, 5, 'tanh', 'tanh', 'softplus', 'sigmoid']
2205	0.7666666666666667	[128, 7, 'tanh', 'softplus', 'softmax', 'softplus']
2193	0.7666666666666667	[128, 7, 'tanh', 'softplus', 'sigmoid', 'softplus']
2227	0.7666666666666667	[128, 7, 'tanh', 'softmax', 'sigmoid', 'softmax']
1395	0.7666666666666667	[64, 7, 'softplus', 'softmax', 'sigmoid', 'softmax']
1447	0.7666666666666667	[64, 7, 'tanh', 'tanh', 'softplus', 'softmax']
1823	0.7666666587193807	[128, 5, 'sigmoid', 'softplus', 'softmax', 'softmax']
1067	0.7666666587193807	[64, 5, 'sigmoid', 'tanh', 'tanh', 'softmax']
336	0.7666666587193807	[32, 5, 'softplus', 'softplus', 'sigmoid', 'sigmoid']
247	0.7666666587193807	[32, 3, 'softmax', 'softmax', 'softplus', 'softmax']
216	0.7666666587193807	[32, 3, 'softmax', 'softplus', 'tanh', 'sigmoid']
476	0.7666666587193807	[32, 5, 'softmax', 'softplus', 'softmax', 'sigmoid']
337	0.7666666587193807	[32, 5, 'softplus', 'softplus', 'sigmoid', 'softplus']
660	0.7666666587193807	[32, 7, 'tanh', 'softplus', 'softplus', 'sigmoid']
1479	0.7666666587193807	[64, 7, 'softmax', 'sigmoid', 'softplus', 'softmax']
1125	0.7666666587193807	[64, 5, 'softplus', 'tanh', 'softplus', 'softplus']
244	0.7666666587193807	[32, 3, 'softmax', 'softmax', 'softplus', 'sigmoid']
1260	0.7666666587193807	[64, 5, 'softmax', 'tanh', 'softmax', 'sigmoid']
763	0.7666666587193807	[32, 7, 'softmax', 'softmax', 'tanh', 'softmax']
492	0.7666666587193807	[32, 5, 'softmax', 'tanh', 'softmax', 'sigmoid']
1616	0.7666666587193807	[128, 3, 'softplus', 'softplus', 'sigmoid', 'sigmoid']
368	0.7666666587193807	[32, 5, 'softplus', 'softmax', 'sigmoid', 'sigmoid']
1390	0.7666666587193807	[64, 7, 'softplus', 'tanh', 'softmax', 'tanh']
560	0.7666666587193807	[32, 7, 'sigmoid', 'softmax', 'sigmoid', 'sigmoid']
1189	0.7666666587193807	[64, 5, 'tanh', 'tanh', 'softplus', 'softplus']
339	0.7666666587193807	[32, 5, 'softplus', 'softplus', 'sigmoid', 'softmax']
493	0.7666666587193807	[32, 5, 'softmax', 'tanh', 'softmax', 'softplus']
735	0.7666666587193807	[32, 7, 'softmax', 'softplus', 'softmax', 'softmax']
2091	0.7500000079472859	[128, 7, 'sigmoid', 'tanh', 'tanh', 'softmax']
592	0.7500000079472859	[32, 7, 'softplus', 'softplus', 'sigmoid', 'sigmoid']
545	0.7500000079472859	[32, 7, 'sigmoid', 'tanh', 'sigmoid', 'softplus']
1311	0.7500000079472859	[64, 7, 'sigmoid', 'softplus', 'softmax', 'softmax']
561	0.7500000079472859	[32, 7, 'sigmoid', 'softmax', 'sigmoid', 'softplus']
